,tweet_id,retweet_count,favorite_count
586,798340744599797760,3130,0
587,798209839306514432,2418,9899
588,797971864723324932,2880,10923
589,797545162159308800,4602,13841
590,797236660651966464,6133,18875
591,797165961484890113,24,212
592,796904159865868288,8331,0
593,796865951799083009,1825,7286
594,796759840936919040,2819,11171
595,796563435802726400,6708,0
596,796484825502875648,1644,7164
597,796387464403357696,3876,10427
598,796177847564038144,13322,0
599,796149749086875649,13322,30414
600,796125600683540480,1680,4723
601,796116448414461957,2243,8615
602,796080075804475393,2158,8001
603,796031486298386433,3492,10237
604,795464331001561088,21882,46616
605,795400264262053889,2674,9477
606,795076730285391872,5078,15305
607,794983741416415232,3148,0
608,794926597468000259,2152,9650
609,794355576146903043,9628,0
610,794332329137291264,2530,9106
611,794205286408003585,3102,8749
612,793962221541933056,4557,15861
613,793845145112371200,1739,8741
614,793614319594401792,2918,0
615,793601777308463104,1511,7556
616,793500921481273345,2224,10086
